text,amount_vnd,category,type
Trả tiền ăn cơ quan 150k bằng tiền mặt,150000,Phiếu lương,Thu nhập
Cắt tóc 60k hôm nay,60000,Hớt tóc,Chi tiêu
Phiếu lương 7.6tr bằng tiền mặt,7643000,Phiếu lương,Thu nhập
Sinh tố bơ 39k ck,39000,Cafe,Chi tiêu
Thanh toán Trả tiền cupe Tiên 500k,500000,Trả nợ,Chi tiêu
Hớt tóc 50k ck,50000,Hớt tóc,Chi tiêu
Cho Cupe Tiên mượn đóng tiền học 300 nghìn,300000,Mượn tiền,Thu nhập
Định lượng 3 tháng 1.1tr,1073000,Quà tặng,Thu nhập
Thay nhớt 120 nghìn,120000,Di chuyển,Chi tiêu
Mượn a Hảo. Đã trả 100k tiền,100000,Trả nợ,Chi tiêu
Mua thuốc cảm uống 32k hôm nay,32000,Sức khỏe,Chi tiêu
Mạng 5g Viettel 150k tiền,150000,4G,Chi tiêu
"Sách ""Một đời như kẻ tìm đường"" 135k ck",135000,Giáo dục,Chi tiêu
Mua dầu gội clear 185k,185000,Mỹ phẩm chăm sóc da,Chi tiêu
120000,120000,Tạp phẩm,Chi tiêu
Cho Khải mua cầu 10k,10000,Giải trí,Chi tiêu
Hớt tóc 50k bằng tiền mặt,50000,Hớt tóc,Chi tiêu
Thanh toán Đổ xăng + mua đồ ăn 167k,167000,Di chuyển,Chi tiêu
Thanh toán Mua nc cho sếp a An chưa chuyển lại 115k,115000,Tạp phẩm,Chi tiêu
Trả lại tiền ăn 100k ck,100000,Trả nợ,Chi tiêu
Thanh toán Nạp tiền dt mua mạng 10k,10000,4G,Chi tiêu
Mua caffe đi tòa 33k tiền,33000,Cafe,Chi tiêu
Nước coca coi phim 57k bằng tiền mặt,57000,Giải trí,Chi tiêu
Tiền ăn 2 cho 101k,101000,Quà tặng,Thu nhập
10000,10000,Khác,Chi tiêu
Hùng tiền nhậu 100k tiền,100000,Đám tiệc,Chi tiêu
Ăn sáng cháo x3 60k ck,60000,Tạp phẩm,Chi tiêu
Khác 28k hôm nay,28000,Khác,Chi tiêu
Uống nước vs bạn 168k hôm nay,168000,Cafe,Chi tiêu
Thanh toán Tăng sên 10k,10000,Khác,Chi tiêu
Hớt tóc 35 nghìn,35000,Hớt tóc,Chi tiêu
26000,26000,Mỹ phẩm chăm sóc da,Chi tiêu
Photo document English 60k bằng tiền mặt,60000,Giáo dục,Chi tiêu
Thanh toán Đám cưới Ngân Ngân 400k,400000,Đám tiệc,Chi tiêu
Uống nước nghe nhạc 40k,40000,Cafe,Chi tiêu
Học phí UIT kỳ 3 7.8tr tiền,7830000,Giáo dục,Chi tiêu
2000000,2000000,Quà tặng,Thu nhập
Mua caffe đi tòa 33k bằng tiền mặt,33000,Cafe,Chi tiêu
Mua caffe đi tòa 33k,33000,Cafe,Chi tiêu
Bcs 50k hôm nay,50000,Khác,Chi tiêu
Thanh toán Mạng 5g Viettel 150k,150000,4G,Chi tiêu
Viettel 5G 150k,150000,4G,Chi tiêu
Sinh tố bơ 39k tiền,39000,Cafe,Chi tiêu
Sách: Hiểu hết về tiền 230k tiền,230000,Giáo dục,Chi tiêu
Mượn 2 1tr 1tr hôm nay,1000000,Mượn tiền,Thu nhập
Mượn mẹ 100k hôm nay,100000,Mượn tiền,Thu nhập
Trả tiền thiếu 100 nghìn,100000,Trả nợ,Chi tiêu
Wifi tháng 5 65 nghìn,65000,4G,Chi tiêu
Trả Cupe Tiên 200k hôm nay,200000,Trả nợ,Chi tiêu
Kem đánh răng 25 nghìn,25000,Mỹ phẩm chăm sóc da,Chi tiêu
Hớt tóc 60 nghìn,60000,Hớt tóc,Chi tiêu
Thanh toán Reset tiền 1.5tr,1453000,Quà tặng,Thu nhập
33000,33000,Cafe,Chi tiêu
500000,500000,Trả nợ,Chi tiêu
Điện + wifi 222k ck,222000,4G,Chi tiêu
Sinh nhật Linh 220k bằng tiền mặt,220000,Đám tiệc,Chi tiêu
Bán chai nc hoa poss 150 nghìn,150000,Khác,Chi tiêu
Thanh toán Sách: Một cuốn sách về chủ nghĩa tối giản 171k,171000,Giáo dục,Chi tiêu
Thanh toán Nước đá 50k,50000,Tạp phẩm,Chi tiêu
Hớt tóc 30k,30000,Hớt tóc,Chi tiêu
"Sách ""Một đời như kẻ tìm đường"" 135k ck",135000,Giáo dục,Chi tiêu
"Sách ""Chinh phục những điều bất khả thi"" 163k hôm nay",163000,Giáo dục,Chi tiêu
Đám cưới Oanh 1tr hôm nay,1000000,Giải trí,Chi tiêu
40000,40000,Cafe,Chi tiêu
Mạng 5G 150k hôm nay,150000,4G,Chi tiêu
Thanh toán Hớt tóc 70k,70000,Hớt tóc,Chi tiêu
Trả tiền chụp hình 40k bằng tiền mặt,40000,Khác,Chi tiêu
Cho Phát mượn 40k ck,40000,Mượn tiền,Thu nhập
Đưa cupe Tiên mượn 150k 150k ck,150000,Mượn tiền,Thu nhập
Đổ xăng 30k ck,30000,Di chuyển,Chi tiêu
20000,20000,Mỹ phẩm chăm sóc da,Chi tiêu
Ăn sáng x3 + 75k cho Trí mượn 150k bằng tiền mặt,150000,Tạp phẩm,Chi tiêu
2 trái bí đao nấu canh 8k hôm nay,8000,Tạp phẩm,Chi tiêu
Phụ cấp tháng 7/2025 2.1tr tiền,2150000,Phiếu lương,Thu nhập
Dây cáp mạng 120k tiền,120000,4G,Chi tiêu
Học phí UIT kỳ 3 7.8tr,7830000,Giáo dục,Chi tiêu
