text,amount_vnd,category,type
Ăn sáng phở 40k bằng tiền mặt,40000,Tạp phẩm,Chi tiêu
2 cho 500k 500k bằng tiền mặt,500000,Quà tặng,Thu nhập
Mua chuối 8k,8000,Tạp phẩm,Chi tiêu
Thanh toán Không nhớ 18k,18000,Khác,Chi tiêu
"Sách ""Chinh phục những điều bất khả thi"" 163k",163000,Giáo dục,Chi tiêu
Thanh toán Đám cưới 500k,500000,Đám tiệc,Chi tiêu
Đổ xăng 30k bằng tiền mặt,30000,Di chuyển,Chi tiêu
Mua bánh kem cho a 2 20k tiền,20000,Mỹ phẩm chăm sóc da,Chi tiêu
57000,57000,Giải trí,Chi tiêu
Sinh nhật Linh 220k,220000,Đám tiệc,Chi tiêu
Gửi thư xin học lại 18k hôm nay,18000,Giáo dục,Chi tiêu
33000,33000,Cafe,Chi tiêu
Trail leo núi Dinh BR VT 298k tiền,298000,Giải trí,Chi tiêu
Nạp tiền dt 10k bằng tiền mặt,10000,Khác,Chi tiêu
Uống nước nghe nhạc 40k,40000,Cafe,Chi tiêu
"Mua sách ""Đúng Việc"" 105k",105000,Giáo dục,Chi tiêu
Cắt tóc 60k,60000,Hớt tóc,Chi tiêu
Thanh toán Tiền ăn 2 cho 101k,101000,Quà tặng,Thu nhập
Mẹ cho 1tr 1tr tiền,1000000,Quà tặng,Thu nhập
Xăng xe 30k bằng tiền mặt,30000,Di chuyển,Chi tiêu
Mượn 2 1tr 1tr hôm nay,1000000,Mượn tiền,Thu nhập
50000,50000,Di chuyển,Chi tiêu
Thanh toán Thuốc cảm 154k,154000,Sức khỏe,Chi tiêu
210000,210000,Đám tiệc,Chi tiêu
Thanh toán Sinh tố bơ 39k,39000,Cafe,Chi tiêu
Ăn sáng 60k bằng tiền mặt,60000,Tạp phẩm,Chi tiêu
Hớt tóc 50k ck,50000,Sức khỏe,Chi tiêu
Bánh  nghìnem sinh nhật Khải 210 nghìn,210000,Đám tiệc,Chi tiêu
Học phí kỳ 1 UIT 6.3tr tiền,6320000,Giáo dục,Chi tiêu
Sinh nhật sếp Hoài 350 nghìn,350000,Đám tiệc,Chi tiêu
Thuốc 7 ngày 98k bằng tiền mặt,98000,Sức khỏe,Chi tiêu
Mua caffe đi tòa 33k bằng tiền mặt,33000,Cafe,Chi tiêu
Thay nhông sên dĩa + mua bánh kem + ăn uống lặt vặt 430k ck,430000,Mỹ phẩm chăm sóc da,Chi tiêu
Tiền cọc dt tháng cuối 1tr ck,1000000,Trả nợ,Chi tiêu
Mua đồ nấu cháo 35 nghìn,35000,Tạp phẩm,Chi tiêu
Mua bánh kem sn Vương 50k bằng tiền mặt,50000,Mỹ phẩm chăm sóc da,Chi tiêu
Mua sách 182k tiền,182000,Giáo dục,Chi tiêu
Thanh toán Mẹ cho 300k,300000,Quà tặng,Thu nhập
Trả chị 2 1 triệu,1000000,Trả nợ,Chi tiêu
Ăn kem 30k hôm nay,30000,Cafe,Chi tiêu
Hớt tóc 35k tiền,35000,Hớt tóc,Chi tiêu
40000,40000,Cafe,Chi tiêu
Mượn mẹ 100k ck,100000,Mượn tiền,Thu nhập
Phụ cấp tháng 12/2025 2.3tr ck,2300000,Phiếu lương,Thu nhập
Sách: Hiểu hết về tiền 230k,230000,Giáo dục,Chi tiêu
30000,30000,Tạp phẩm,Chi tiêu
Card wifi 255k tiền,255000,4G,Chi tiêu
120000,120000,Tạp phẩm,Chi tiêu
Thanh toán Ăn uống vs bạn bè 200k,200000,Giải trí,Chi tiêu
50000,50000,Hớt tóc,Chi tiêu
